mode,controller,throughput_veh_h,throughput_veh_h,speed_m_s,speed_m_s,stops_per_vehicle,stops_per_vehicle,fuel_mpg,fuel_mpg,co2_g_mi,co2_g_mi,nox_mg_mi,nox_mg_mi
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
mixed,Alinea,3843.656343656344,100.8875640946026,11.871348247860995,2.0787390296066826,0.8636272201428493,0.5416342148314627,19.470095707157572,2.1577381966400817,479.5458432314875,52.10324763633155,194.10896332138972,24.132785143941373
mixed,Fixed,3846.3536463536466,89.17264214417612,12.560001130853605,2.5934521215396704,0.8853201790647007,0.5512223444667823,19.1204113873017,2.0533630978625017,499.82358626567884,54.26788212527181,203.31982004609637,25.16253668893224
mixed,noRM,3855.164835164835,90.40823147914668,12.490064527067828,3.014223753181981,0.6920124032339714,0.5145945734722812,20.410110276809206,2.4842613774529156,453.9994853836298,57.5546845285155,182.31220619007973,26.698965604334436
