mode,controller,throughput_veh_h,throughput_veh_h,speed_m_s,speed_m_s,stops_per_vehicle,stops_per_vehicle,fuel_mpg,fuel_mpg,co2_g_mi,co2_g_mi,nox_mg_mi,nox_mg_mi
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
extreme,Alinea,4435.084915084915,72.65878377611078,7.005017706609307,1.3760317475531287,4.474682658102558,1.1869676881478184,11.637634027785847,1.3920583973776124,836.714470377656,87.43772142553453,357.2851461954407,39.819113286326115
extreme,Fixed,4432.567432567433,71.17168944875858,7.046027491846074,1.1487618311094205,4.49693742255147,1.1002190680509623,11.527185010240995,1.426834144820605,850.4853575844332,80.07676325491228,363.56688331637713,36.37287993049784
extreme,noRM,4433.466533466533,74.82152790179154,6.891901351135405,1.4440240231500945,4.709505584043963,1.2530179474703846,11.589784329593071,1.608965834489032,841.0090760219042,89.04220641942604,359.20977595031536,40.47565864137899
