throughput_veh_h,speed_m_s,stops_per_vehicle,fuel_mpg,co2_g_mi,nox_mg_mi,controller,episode,mode
4499.100899100899,5.2749485434223145,6.547619047619048,9.921557503947865,976.9826899411202,421.289456619569,Alinea,0,extreme
4466.733266733267,5.841276876740285,6.174298375184638,9.972706990544392,961.088123722652,413.79849249222855,Alinea,1,extreme
4423.576423576424,6.864411924629412,4.449850299401198,11.48169545793824,850.8190887651641,363.7201216622533,Alinea,2,extreme
4362.4375624375625,8.07078898619689,3.6202435312024352,11.88576652764699,801.7604392916886,341.4657715825621,Alinea,3,extreme
4351.648351648351,6.992061862688907,4.546969696969697,11.077129806007944,867.5614181946364,371.2208946335235,Alinea,4,extreme
4409.190809190809,7.683511056953504,3.804185351270553,12.439703003116817,811.908659735163,346.1808705811527,Alinea,5,extreme
4545.854145854146,5.737139514869596,5.941346850108617,9.826935672316766,984.4115592203824,424.49952350777954,Alinea,6,extreme
4398.401598401599,7.195883405524685,4.6626139817629175,11.34655125857091,841.8586899147302,359.56027225928,Alinea,7,extreme
4326.473526473526,11.2116244004216,1.2434514637904468,15.843538870409583,622.317311215941,259.9081707867676,Alinea,8,extreme
4376.823176823177,6.885649868753563,4.80060422960725,11.338569325865638,865.3571619082298,370.2903214197208,Alinea,9,extreme
4384.015984015984,6.561892260579161,4.698042168674699,11.683663816023694,866.5959215555407,370.84245579439374,Alinea,10,extreme
4466.733266733267,5.6037493390204975,5.662192393736018,10.212993150014926,948.2524256299172,408.1563509634907,Alinea,11,extreme
4448.751248751249,5.1118209478904735,6.479289940828402,9.901908070229023,974.5180845841488,420.1987079075317,Alinea,12,extreme
4499.100899100899,6.418220235825422,4.931617647058824,11.15999837457742,896.5963476362133,384.7836830456503,Alinea,13,extreme
4340.85914085914,9.09869147741396,2.7102446483180427,13.177553547667582,732.1380866177936,309.742165147441,Alinea,14,extreme
4384.015984015984,7.274918529343031,3.5755988023952097,12.180536492112696,824.823582087536,351.97649750156944,Alinea,15,extreme
4527.872127872128,5.480473534388668,6.21925925925926,10.250037716539609,951.942760965812,409.76646498856775,Alinea,16,extreme
4290.50949050949,6.904012239667434,4.668461538461538,10.564222176610148,895.1653469861105,383.8298487984845,Alinea,17,extreme
4499.100899100899,6.373216802680395,5.153790087463557,11.197386369392792,903.6656233072616,388.0879765506895,Alinea,18,extreme
4430.769230769231,6.771931753332437,5.129753914988815,10.622535511374828,912.8909856441284,391.96820504849296,Alinea,19,extreme
4470.32967032967,6.117249476215509,5.563988095238095,10.368634929265395,999.5109080980444,431.73302881180126,Fixed,0,extreme
4466.733266733267,5.7981095485927785,5.835302806499262,10.02506404359292,1023.000341625512,442.39013401236735,Fixed,1,extreme
