mode,controller,throughput_veh_h,throughput_veh_h,speed_m_s,speed_m_s,stops_per_vehicle,stops_per_vehicle,fuel_mpg,fuel_mpg,co2_g_mi,co2_g_mi,nox_mg_mi,nox_mg_mi
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
extreme,Alinea,4421.598401598401,71.20013904770884,6.867811178017112,1.4192938477402302,4.7509716614050586,1.3210507885275293,11.304249482045392,1.4127310290375996,874.5327153462085,89.47828290660692,374.56431256455744,40.7092192562689
extreme,Fixed,4419.8001998002,77.90244325865187,7.117570834336753,1.1367227802881035,4.496150361123815,0.9409974709797266,11.430185512920984,1.3643527578393129,926.4544779639576,79.56087643750618,398.48821370208145,36.17054768973222
extreme,noRM,4420.519480519481,78.75242228203878,6.17080006867267,1.4008103139532047,4.902200766422933,1.1705549839728115,11.164262071343801,1.5868966716127704,881.4538064353546,92.96782182269986,377.69390828504714,42.31279664346816
