mode,controller,throughput_veh_h,throughput_veh_h,speed_m_s,speed_m_s,stops_per_vehicle,stops_per_vehicle,fuel_mpg,fuel_mpg,co2_g_mi,co2_g_mi,nox_mg_mi,nox_mg_mi
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
mixed,Alinea,3851.7482517482517,96.80449092163485,12.60988193541385,1.9287018203672617,1.0392682144281045,0.4324061211675655,19.00208487312998,1.7438599896443825,505.9459299021577,48.348706245062495,206.10182074043422,22.35245048592697
mixed,Fixed,3849.5904095904093,117.51058487749593,14.057942587052688,2.9771755251118805,1.1676221611195663,0.176708505213828,19.156838112708286,1.2379246447296548,572.4506313816264,31.27281120873416,236.62116677659068,14.65819043728697
mixed,noRM,3840.4195804195806,85.76994990369101,11.329656347179682,1.795240771291815,0.8345023814069614,0.5367757370186019,19.292307641073112,2.289764711653384,479.97599288090703,61.503986491019695,194.3765952036307,28.335707122453048
