throughput_veh_h,speed_m_s,stops_per_vehicle,fuel_mpg,co2_g_mi,nox_mg_mi,controller,episode,mode
3772.6273726273726,14.969415009462807,0.6596958174904943,21.524354947175183,436.6774988399253,173.76852594839755,apexdqn,0,mixed
3837.3626373626375,10.44848732264024,1.2745638200183655,18.554413175838963,511.217930712114,208.85767590841667,apexdqn,1,mixed
3830.16983016983,10.581423571434366,0.8378127896200185,19.357236899583235,478.9114095300106,194.03080484538134,apexdqn,2,mixed
3776.2237762237764,16.913244641176853,0.14814814814814814,23.232498518340588,396.201028087093,155.3295952606503,apexdqn,3,mixed
3837.3626373626375,11.435074180514631,0.7560296846011132,19.51380787708987,481.01814151930233,194.29918865793107,apexdqn,4,mixed
3772.6273726273726,17.33373111201236,0.22645099904852523,23.076800482531674,403.056574528772,158.34131992942784,apexdqn,5,mixed
3981.2187812187813,9.624237756694292,1.6108247422680413,16.523025740101826,585.7179728477507,242.86029205089108,apexdqn,6,mixed
3704.2957042957046,18.60787802152436,0.08325266214908035,23.95329681282842,383.96537083304565,149.4004302109346,apexdqn,7,mixed
3754.6453546453545,10.968542384778926,1.2154850746268657,17.83141157957283,523.8696106646777,214.451390438816,apexdqn,8,mixed
3920.07992007992,13.511767599302122,0.41553748870822044,21.171959651715756,445.21958858009424,178.03474882111524,apexdqn,9,mixed
3711.4885114885114,18.273963557502043,0.13996138996138996,23.69129838933424,389.7464387063055,152.15833405409475,apexdqn,10,mixed
3938.061938061938,13.154506532769243,0.5627240143369175,20.891952473145825,448.6701074837376,179.91915964858097,apexdqn,11,mixed
3930.869130869131,13.672065397250249,0.7013452914798206,20.454498929244096,469.36295169346164,189.2907538155031,apexdqn,12,mixed
3995.604395604396,11.883239630877405,0.9964125560538116,19.111254784306706,489.8247174217387,199.26326164695843,apexdqn,13,mixed
3830.16983016983,12.273774379202482,0.6351730589335828,20.086377465830992,464.8842636348917,187.56099097554815,apexdqn,14,mixed
3909.2907092907094,11.778770193699751,1.2686832740213523,18.524152277280283,513.0413834723338,209.46484145470032,apexdqn,15,mixed
3945.2547452547456,12.382993865846666,0.7054545454545454,19.82554755354513,474.2587335653604,191.70910957719042,apexdqn,16,mixed
3747.4525474525476,15.250588165118323,0.23106060606060605,22.50687315985124,409.17585241686385,161.28800017664935,apexdqn,17,mixed
4002.7972027972028,10.110245830942642,1.431064572425829,16.596309232374896,561.4830933504702,232.01227675362324,apexdqn,18,mixed
3916.4835164835163,15.980622881163729,0.2687385740402194,22.40428573451595,416.3119594430031,164.87037809107258,apexdqn,19,mixed
