throughput_veh_h,speed_m_s,stops_per_vehicle,fuel_mpg,co2_g_mi,nox_mg_mi,controller,episode,mode
4513.486513486514,5.806760173879899,5.171875,10.46610810739087,916.7329301331556,393.59859223591167,apexdqn,0,extreme
4463.136863136863,5.637430022318305,5.72821270310192,10.366874395543606,933.6545217093467,401.6398100343742,apexdqn,1,extreme
4373.226773226773,6.065384759798033,4.55314371257485,11.539064626740384,870.4342638157889,372.79769939543434,apexdqn,2,extreme
4340.85914085914,7.322133774139416,3.904109589041096,12.285278555160998,792.3478393529599,337.0280428960735,apexdqn,3,extreme
4416.383616383617,7.012166649652982,5.086363636363636,11.347593444856258,843.1950127849149,360.18167209665273,apexdqn,4,extreme
4409.190809190809,6.811300839741094,4.7174887892376685,11.869322814342889,818.758044427682,349.22393167385127,apexdqn,5,extreme
4596.203796203797,5.439008078859762,6.002172338884866,9.759842133823776,964.3772442344731,415.3876917462217,apexdqn,6,extreme
4376.823176823177,5.97940265894713,5.020516717325228,10.780786613720018,888.6760241406255,380.97897575472103,apexdqn,7,extreme
4294.105894105895,10.553815810173296,1.5916795069337442,16.483959074546657,598.503379500268,248.96773240230954,apexdqn,8,extreme
4380.419580419581,6.405446965894886,4.446374622356496,11.763655690496751,841.9471051821095,359.6225302688945,apexdqn,9,extreme
4376.823176823177,6.632625464653439,4.179216867469879,12.14252267074584,830.2502691057664,354.35567631325426,apexdqn,10,extreme
4477.522477522477,5.730988031778707,5.700223713646532,10.559647179740296,903.2935495410936,387.8037595679922,apexdqn,11,extreme
4470.32967032967,5.191518472376179,5.861686390532545,10.117023201054737,961.5594844738309,414.2680421821827,apexdqn,12,extreme
4509.89010989011,6.493553922732501,5.044117647058823,11.606920860461992,852.8155268877524,364.885806388664,apexdqn,13,extreme
4344.455544455544,8.337769502547776,3.1597859327217126,13.586548949332268,730.6907216130649,309.42262582191955,apexdqn,14,extreme
4419.98001998002,6.880190038318761,4.187125748502994,12.170598641073425,825.5132453753536,352.1978952432508,apexdqn,15,extreme
4524.275724275724,5.63010104896663,5.6829629629629625,10.315378238641225,934.11230234405,401.5985888532936,apexdqn,16,extreme
4326.473526473526,6.200265738940866,4.9338461538461535,11.013980442925021,860.1156571056173,367.7196991421101,apexdqn,17,extreme
4495.504495504495,5.90468185264414,4.946793002915452,11.09313911726678,912.5622928634241,392.1308033289543,apexdqn,18,extreme
4434.365634365634,6.548951880889635,5.126771066368382,10.867969800328977,884.6983580640983,379.0507161685188,apexdqn,19,extreme
