throughput_veh_h,speed_m_s,stops_per_vehicle,fuel_mpg,co2_g_mi,nox_mg_mi,controller,episode,mode
4491.9080919080925,4.7937619710092205,5.955357142857143,9.84422417706089,971.4399760455769,418.8027731544096,a3c,0,extreme
4466.733266733267,5.672312691728561,5.880354505169867,10.009556295283884,941.7247982052924,405.03722795549044,a3c,1,extreme
4452.347652347653,6.731392976683493,4.184880239520958,11.446730525016452,839.8489868767175,358.7508263380058,a3c,2,extreme
4319.280719280719,6.680740405429281,4.4581430745814306,11.57830814624789,828.782241443376,353.8973217684378,a3c,3,extreme
4355.244755244756,5.076415466661674,6.001515151515152,10.07387747991354,936.6699727941852,402.6920467823954,a3c,4,extreme
4394.805194805194,6.157218508089766,4.531390134529148,11.737592952806986,852.8377650768302,364.772718515856,a3c,5,extreme
4581.818181818182,4.933191337895822,6.031136857349747,9.296108112602113,1016.6566657954791,439.19033839323066,a3c,6,extreme
4391.208791208792,6.341645082215284,4.793313069908814,10.752587444868665,885.4887064668892,379.2176514199011,a3c,7,extreme
4319.280719280719,11.071185838924869,1.357473035439137,16.496277731101863,593.1300064194362,246.4433240018509,a3c,8,extreme
4416.383616383617,7.0569871752103825,4.093655589123867,11.935091261402203,813.1096665231817,346.49396080028606,a3c,9,extreme
4348.051948051948,6.002169835217343,5.155120481927711,11.646332020104058,871.3918873956692,373.08227703703807,a3c,10,extreme
4488.311688311688,5.831600187261642,5.154362416107382,10.407487520037655,908.663970935761,389.97725917277,a3c,11,extreme
4495.504495504495,5.020870560700529,5.783284023668639,10.234465004392147,924.3028161413393,397.19908470143605,a3c,12,extreme
4470.32967032967,5.567800579295034,5.533823529411765,10.698854578468008,939.7098242893439,404.393428828256,a3c,13,extreme
4337.262737262738,7.969951838653989,3.1016819571865444,13.508128748587202,754.9735544807105,320.2822920768831,a3c,14,extreme
4412.787212787212,6.338332906285782,3.9535928143712575,11.77717970245556,825.6311227329198,352.24687500237184,a3c,15,extreme
4491.9080919080925,5.315531899178586,5.912592592592593,10.05489824794259,949.8860963683942,408.8970533336111,a3c,16,extreme
4304.895104895105,6.093529252873548,4.756923076923077,10.881843528693347,875.1647029426875,374.5095472544407,a3c,17,extreme
4502.697302697303,5.633920231412113,5.431486880466473,10.807307626670415,930.4625417406617,400.2285390635381,a3c,18,extreme
4394.805194805194,5.24704441606302,5.704697986577181,10.1059500984582,957.0340150803996,412.0645392852722,a3c,19,extreme
