throughput_veh_h,speed_m_s,stops_per_vehicle,fuel_mpg,co2_g_mi,nox_mg_mi,controller,episode,mode
4491.9080919080925,6.2216142826142695,5.6398809523809526,10.735454715897294,928.8157287922407,399.21018164413084,ppo,0,extreme
4499.100899100899,6.83694638518363,5.406203840472673,10.681667084070744,895.0389290057282,383.82794720147587,ppo,1,extreme
4430.769230769231,8.033625052724808,3.782934131736527,12.94366389826735,773.1373412674776,328.52573198056473,ppo,2,extreme
4366.033966033966,9.206932629809666,3.031202435312024,13.317714027667016,729.7432324966002,308.8367994770641,ppo,3,extreme
4376.823176823177,7.297039246840663,4.223484848484849,11.526167193092101,847.7917249664596,362.29796167906835,ppo,4,extreme
4423.576423576424,8.479470239843451,3.994764397905759,12.436100438538938,825.1509244445404,352.0411874063734,ppo,5,extreme
4585.414585414585,6.885457319616092,4.619840695148443,10.932524856181972,906.4031444856765,388.93439360190496,ppo,6,extreme
4376.823176823177,6.721487693783786,4.693536121673004,11.273638595560584,861.4585538360593,368.59793219830976,ppo,7,extreme
4376.823176823177,13.524366916775133,1.0600924499229585,18.444660505216447,527.5045796235576,216.5857503080587,ppo,8,extreme
4423.576423576424,7.796204227402093,4.663897280966768,11.607285197358523,831.0762406139459,354.52002191000753,ppo,9,extreme
4437.962037962038,7.839940498957973,3.6438253012048194,12.653148119495762,806.5011797223957,343.64838082642206,ppo,10,extreme
4499.100899100899,6.5668956826719,5.5480984340044746,10.486988732308177,912.2381016677803,391.591085455657,ppo,11,extreme
4459.54045954046,6.251569097256361,5.420118343195266,10.219677628307682,931.2633568876456,400.22878696585076,ppo,12,extreme
4509.89010989011,7.0092630467960655,5.161029411764706,11.629793162188578,867.1470064014107,371.55999494230485,ppo,13,extreme
4394.805194805194,10.62622826095161,2.478593272171254,15.533970402523641,635.1098602329861,265.84997662844205,ppo,14,extreme
4394.805194805194,7.866874905499906,4.251497005988024,12.34962301218095,806.5815451397572,343.54634577691456,ppo,15,extreme
4470.32967032967,5.584462733164374,6.365925925925926,10.278336847601055,957.1459760248786,412.24126717378556,ppo,16,extreme
4326.473526473526,8.405499390812812,3.9553846153846153,12.006014320030095,803.3273600738635,342.0466213881951,ppo,17,extreme
4502.697302697303,8.221213750533636,3.8556851311953353,13.128252780433986,799.3367327415108,340.6261804675768,ppo,18,extreme
4448.751248751249,7.554868474599535,4.598806860551827,11.069434924423879,867.6193600495175,371.2222799399119,ppo,19,extreme
